package_name,version,repository_url,license_type,description
numpy,1.21.0,"https://github.com/numpy/numpy","BSD-3-Clause","Numerical Python: array processing for numbers, matrices, and tables."
pandas,1.3.3,"https://github.com/pandas-dev/pandas","Apache-2.0"," Powerful data structures for data analysis, time series, and statistics."
scipy,1.7.3,"https://github.com/scipy/scipy","BSD-3-Clause","Scientific tools for Python: integration, optimization, interpolation, etc."
matplotlib,3.4.2,"https://github.com/matplotlib/matplotlib","PSF License","Plotting library for the production of publication quality figures."
scikit-learn,0.24.2,"https://github.com/scikit-learn/scikit-learn","BSD-3-Clause","Machine learning in Python: simple and efficient tools for data mining and data analysis."
requests,2.25.1,"https://github.com/psf/requests","Apache-2.0","HTTP library for human beings."
beautifulsoup4,4.9.3,"https://github.com/souper-soup/beautifulsoup4","MIT License","Pythonic HTML and XML parser for beautiful screen-scraping."
flask,1.1.2,"https://github.com/pallets/flask","BSD-3-Clause","A micro web framework for Python based on Werkzeug and Jinja 2."
pytest,6.2.5,"https://github.com/pytest-dev/pytest","MIT License","Pytest: simple and powerful testing with Python."
jupyter,1.0.0,"https://github.com/jupyter/jupyter","BSD-3-Clause","Interactive computing in the browser, one notebook at a time."